"r","cpu","T"
4.2,12.31,0
4.2,13.45,6.03
5,33.71,0
5,31.24,0
6.1,27.13,0
6.1,28.09,0
7,42.13,0
7,41.36,0
6.5,15.31,0
6.4,15.88,0
6.8,38.1,0
6.8,37.92,0
6.8,19.73,0
6.9,19.73,0
6.4,57.4,0
6.4,57.4,0
6.6,15.66,0
6.6,15.66,0
6.8,60.78,0
6.8,60.78,0
6.6,12.89,0
6.6,11.51,0
5.4,52.54,0
5.3,52.52,0
4.6,13.63,0
4.6,13.46,0
4.5,31.07,0
4.5,31.06,0
4.9,10.56,0
5,11.17,0
4.7,36.46,0
4.7,35.48,0
4.7,16.72,0
4.7,17.88,0
5.5,26.33,0
5.5,25.16,0
5.8,15.57,0
5.7,16.34,0
5.8,38.79,0
5.8,38.01,0
5.1,18.48,0
5.1,20.04,0
6,49.73,0
6,48.96,0
5.7,22.97,0
5.7,23.73,0
5.2,43.83,0
5.2,42.86,0
5.6,14.76,0
5.6,15.74,0
6.5,42.66,0
6.5,41.29,0
6.8,21.68,0
6.8,22.08,0
5.7,44.9,0
5.6,44.34,0
5.8,9.56,0
5.9,11.08,0
5.9,35.6,0
5.9,34.09,0
6.6,23.17,0
6.7,23.56,0
6.9,26.7,0
6.9,26.88,0
7.7,20.56,0
7.7,20.76,0
7.8,45.72,0
7.7,45.34,0
7.3,27.67,0
7.3,28.85,0
6.1,38.8,0
6.1,37.84,0
5.2,29.13,0
5.2,29.88,0
6.5,63.23,0
6.5,62.63,0
6.9,18.02,0
6.9,17.53,0
7,37.18,0
7.2,37.18,0
7.1,7.37,0
7.1,8.23,0
6.1,32.54,0
6.1,32.04,0
5.1,12.88,0
5.1,13.08,0
4.9,31.37,0
4.9,30.4,0
4.9,16.34,0
4.9,17.85,0
5.6,24.57,0
5.6,23.22,0
6,22.27,0
6,23.06,0
5.2,22.69,0
5.1,22.3,0
5.5,20.06,0
5.5,21.05,0
6,19.74,0
6,18.54,0
5.2,25.24,0
5.2,25.43,0
5,17.97,0
5.1,17.77,0
5,22.64,0
5,22.65,0
4.9,16.61,0
4.9,17,0
4.7,26.35,0
4.7,26.37,0
4.2,16.41,0
4.2,16.01,0
4.2,30.8,0
4.2,31.4,0
14.8,11.27,0
14.8,12.63,0
18.2,25.35,0
18.2,26.13,0
21.5,24.57,0
21.5,23.76,0
24.7,21.3,0
24.7,21.3,0
28.3,20.46,0
28.3,20.46,0
31.9,27.62,0
31.9,26.88,0
35.1,20.84,0
35.1,20.55,0
38.8,16.71,0
38.8,16.71,0
42.2,27.44,0
42.2,27.44,0
46.2,17.73,0
46.2,17.46,0
49.3,23.57,0
49.3,24.55,0
52.4,28.61,0
52.2,27.8,0
55.5,24.8,0
55.5,25,0
58.9,30.48,0
58.9,30.48,0
63.2,50.77,0
63.2,50.97,0
66.3,51.24,0
66.3,51.24,0
69.6,38.99,0
69.5,38.99,0
72.8,56.84,0
72.6,56.25,0
75.6,28.48,0
75.6,29.62,0.658103448275862
78.7,53.08,0.8337272727272727
78.6,51.74,0.7514193548387097
82.1,15.78,0.7275333333333333
82.3,15.59,0.8293611111111112
86.2,40.45,0.8634999999999999
85.7,41.08,0.9478709677419356
88.6,15.04,1.483225806451613
88.8,14.66,0.7339210526315791
92.5,38.45,0.9513448275862065
92.7,38.12,0.7584461538461542
95.6,17.5,0.7581805555555554
95.6,18.46,0.5930483870967742
98.9,52.31,0.6848088235294117
98.5,52.69,0.5585757575757576
103,16.97,0.9792812500000004
103.6,15.99,0.6176911764705881
106.5,41.39,0.6546406250000001
106.7,41.59,0.9164399999999997
111.2,18.46,0.7757714285714284
111.6,18.46,0.7314565217391304
113.8,67.76,0.6622277227722773
114.5,68.16,0.7403333333333334
116.2,13.83,0.7542100000000004
116.2,13.83,0.7418636363636366
119,37.72,0.5672551020408163
119,37.72,0.6735154639175258
123,22.14,0.7912233009708739
123,22.14,0.673777777777778
126,28.59,0.7921368421052635
126,29.68,0.7576
